# Time-averaged data for fix temp_info
# TimeStep v_mytemp
3639000 3096.72
3642000 3002.85
3645000 2931.36
3648000 3321.69
3651000 2883.05
3654000 2958
3657000 3325.1
3660000 3231.15
3663000 3109.1
3666000 3057.1
3669000 3188.7
3672000 3014.28
3675000 3150.42
3678000 3072.97
3681000 3345.65
3684000 3105.46
3687000 3126.81
3690000 3129.4
3693000 3020.83
3696000 2942.57
3699000 3247.82
3702000 3135.35
3705000 3029.63
3708000 3104.28
3711000 2955.34
3714000 2964.77
3717000 2984.77
3720000 3290.46
3723000 2775.82
3726000 2882.38
3729000 2922.87
3732000 3116.5
3735000 2852.25
3738000 2989.1
3741000 3022.39
3744000 2897.01
3747000 2982.1
3750000 2843.37
3753000 3074.54
3756000 3067.42
3759000 2820.87
3762000 2794.87
3765000 2837.01
3768000 2921.04
3771000 3151.15
3774000 3143.65
3777000 2723.08
3780000 3002.2
3783000 3022.12
3786000 2751.28
3789000 2997.41
3792000 3270.97
3795000 3188.88
3798000 3041.05
3801000 3153.71
3804000 3317.42
3807000 3076.72
3810000 3291.26
3813000 2784.83
3816000 3138.58
3819000 3130.91
3822000 3169.16
3825000 3332.08
3828000 3110.31
3831000 2950.94
3834000 3004.82
3837000 2959.38
3840000 2789.95
3843000 2987.01
3846000 3099.8
3849000 3027.84
3852000 3273.73
3855000 3006.42
3858000 2976.99
3861000 2929.08
3864000 3032.52
3867000 2938.68
3870000 3044.2
3873000 2806.71
3876000 3259.9
3879000 3253.3
3882000 3214.22
3885000 3078.48
3888000 3145.89
3891000 3069.35
3894000 2915.1
3897000 3036.34
3900000 2656.69
3903000 2876.3
3906000 3164.14
3909000 2828.36
3912000 3187.72
3915000 3034.13
3918000 2979
3921000 2955.56
3924000 2958.13
3927000 3033.2
3930000 3038.39
3933000 2924.07
3936000 3042.01
3939000 2947.54
3942000 3267.09
3945000 2867.55
3948000 2993.82
3951000 3036.93
3954000 2918.79
3957000 2898.58
3960000 2996.45
3963000 3045.08
3966000 2987.56
3969000 2834.71
3972000 2995.32
3975000 2918.97
3978000 2994.45
3981000 2925.37
3984000 2865.95
3987000 3017.61
3990000 2822.31
3993000 2965.56
3996000 3234.92
3999000 3061.52
4002000 3014.71
4005000 2881.99
4008000 2780.84
4011000 3036.06
4014000 3092.74
4017000 2902.87
4020000 3141.73
4023000 2710.69
4026000 2991.72
4029000 2864.64
4032000 3116.87
4035000 2921.18
4038000 2952.32
4041000 2925.92
4044000 3039.7
4047000 3197.8
4050000 2934.99
4053000 2930.79
4056000 3074.3
4059000 2931.46
4062000 2876.26
4065000 3116.2
4068000 2668.45
4071000 2688.56
4074000 2812.03
4077000 2795.73
4080000 2749.31
4083000 2838
4086000 2903.44
4089000 2835.82
4092000 2884.29
4095000 2844.89
4098000 2868.16
4101000 2796.38
4104000 3113.33
4107000 2832.43
4110000 2881.94
4113000 2818.27
4116000 3095.19
4119000 2555.44
4122000 2884.74
4125000 2807.86
4128000 2773.41
4131000 2890.25
4134000 2696.38
4137000 2729.78
4140000 2793.55
4143000 2738.34
4146000 2920.52
4149000 2840.54
4152000 2967.01
4155000 2920.42
4158000 2868.94
4161000 2905.81
4164000 2782.9
4167000 2986.49
4170000 2664.86
4173000 2828.54
4176000 2557.47
4179000 2745.24
4182000 2965.13
4185000 2631.38
4188000 2885.23
4191000 2762.19
4194000 2710.65
4197000 2792.11
4200000 2843.59
4203000 2504.71
4206000 2832.36
4209000 2731.63
4212000 3053.72
4215000 2590.88
4218000 2854.57
4221000 2645.09
4224000 3100.76
4227000 2759.28
4230000 2676.14
4233000 2590.05
4236000 2902.81
4239000 2584.3
4242000 2851.53
4245000 2761.32
4248000 2353.8
4251000 2634.16
4254000 2763.01
4257000 2901.86
4260000 2613.12
4263000 2742.48
4266000 2731.94
4269000 2780.73
4272000 2609.59
4275000 2578.97
4278000 2867.85
4281000 2850.6
4284000 2593.71
4287000 2617.41
4290000 2748.75
4293000 2718.31
4296000 2672.47
4299000 2577.79
4302000 2543.04
4305000 2552.62
4308000 2626.59
4311000 2638.77
4314000 2751.99
4317000 2481.97
4320000 2436.99
4323000 2545.01
4326000 2850.08
4329000 2687.08
4332000 2566.13
4335000 2541.59
4338000 2477.65
4341000 2525.43
4344000 2690.71
4347000 2819.7
4350000 2411.27
4353000 2524.46
4356000 2602.89
4359000 2591.74
4362000 2462.35
4365000 2497.65
4368000 2606.71
4371000 2476.98
4374000 2559.39
4377000 2492.85
4380000 2654.38
4383000 2861.55
4386000 2486.35
4389000 2430.81
4392000 2673.31
4395000 2513.31
4398000 2318.08
4401000 2451.09
4404000 2556.64
4407000 2542.37
4410000 2483.95
4413000 2525.76
4416000 2494.87
4419000 2573.88
4422000 2327.13
4425000 2445.85
4428000 2412.68
4431000 2540.51
4434000 2567.1
4437000 2453.28
4440000 2459.73
4443000 2733.69
4446000 2380.74
4449000 2541.99
4452000 2424.96
4455000 2612.75
4458000 2395.3
4461000 2464.13
4464000 2665.48
4467000 2228.83
4470000 2370.18
4473000 2375.2
4476000 2164.89
4479000 2586.87
4482000 2495.29
4485000 2552.05
4488000 2384.41
4491000 2198.55
4494000 2383.99
4497000 2416.68
4500000 2460.91
4503000 2415.96
4506000 2408.68
4509000 2206.68
4512000 2313.88
4515000 2278.1
4518000 2149.64
4521000 2289.24
4524000 2161.4
4527000 2325.57
4530000 2198.47
4533000 2277.54
4536000 2453.93
4539000 2537.77
4542000 2287.66
4545000 2231.04
4548000 2249.87
4551000 2409.21
4554000 2417.76
4557000 2255.72
4560000 2149.72
4563000 2436.22
4566000 2334.62
4569000 2452.18
4572000 2303.21
4575000 2226.67
4578000 2333.03
4581000 2288.4
4584000 2304.24
4587000 2124.04
4590000 2278.74
4593000 2246.52
4596000 2315.55
4599000 2045.44
4602000 2215.82
4605000 2361.39
4608000 2240.52
4611000 2351.37
4614000 2110.22
4617000 2307.64
4620000 2085.49
4623000 2200.68
4626000 2304.91
4629000 2258.31
4632000 2195.17
4635000 2211.8
4638000 2211.15
4641000 2065.7
4644000 2241.92
4647000 2162.5
4650000 2112.2
4653000 2295.22
4656000 2112.38
4659000 2252.49
4662000 2235.75
4665000 2177.03
4668000 2192.51
4671000 2172.62
4674000 2019.49
4677000 2198.68
4680000 2233.94
4683000 2139.47
4686000 2226.71
4689000 2254.63
4692000 2238.06
4695000 2240.52
4698000 2244.65
4701000 2016.32
4704000 2202.41
4707000 1987.09
4710000 2042.65
4713000 2076.23
4716000 1972.66
4719000 2150.6
4722000 2224.64
4725000 2095.36
4728000 2133.38
4731000 2243.31
4734000 1959.23
4737000 1951.59
4740000 2064.98
4743000 2115.47
4746000 2043.47
